Designator,Footprint,Quantity,Value,LCSC Part #
"4QX1, CYCLE1, CYCLE2, EOC1, EOC2, EXPCV1, EXPCV2, FALL1, FALL2, FALLCV1, FALLCV2, IN1, IN2, LGTR1, MAX1, MIN1, OUT1, OUT2, RISE1, RISE2, RISECV1, RISECV2, TRIG1, TRIG2",WQP-PJ301M-12_JACK,24,Thonk,
BALANCE1,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,1M,
"C1, C11, C14, C4",C_0805_HandSoldering,4,10n,
"C10, C8",C_0805_HandSoldering,2,100nF,
"C12, C2",C_0805_HandSoldering,2,470n,
"C13, C3",C_0805_HandSoldering,2,47n,
"C6, C9",C_0805_HandSoldering,2,100n,
"CYCLESW1, CYCLESW2, RANGESW1, RANGESW2, TRIGGERSW1",SPDT_Switch_P4.7mm,5,SWITCH_INV,
"D1, D2, D3, D4, D5, D6",D_SOD-323_HandSoldering,6,1N4148WS,
"FALLCVPOT1, FALLCVPOT2, FALLPOT1, FALLPOT2, RISECVPOT1, RISECVPOT2, RISEPOT1, RISEPOT2",Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,8,100k,
"FALLTRIM1, FALLTRIM2, RISETRIM1, RISETRIM2",Bourns_3362P,4,100k,
"LEDF1, LEDF2, LEDR1, LEDR2",LED-3MM,4,LED,
"P1, P4",PinHeader_1x12_P2.54mm_Vertical,2,CONN_01X12,
"P2, P3",PinHeader_1x10_P2.54mm_Vertical,2,CONN_01X10,
"P5, P6",PinSocket_1x02_P2.54mm_Vertical,2,Conn_01x02,
"Q1, Q2, Q3, Q4",SOT-23_Handsoldering,4,MMBT3904,
"R1, R27, R3, R33, R4, R53, R54, R56",R_0805_HandSoldering,8,10k,
"R10, R11, R12, R2, R21, R22, R38, R42, R46, R49, R51, R55",R_0805_HandSoldering,12,100k,
"R13, R35, R45, R6",R_0805_HandSoldering,4,47k,
"R14, R15, R16, R23, R24, R25, R26, R30, R31, R32, R34, R39, R40, R41",R_0805_HandSoldering,14,1k,
"R17, R36, R47, R57, R7",R_0805_HandSoldering,5,1M,
"R18, R37, R48, R8",R_0805_HandSoldering,4,110k,
"R19, R20, R43, R44",R_0805_HandSoldering,4,2k2,
"R28, R29",R_0805_HandSoldering,2,4M7,
"R5, R50, R52, R9",R_0805_HandSoldering,4,23k7,
"SHAPE1, SHAPE2",Potentiometer_Alpha_RD902F-40-00D_Dual_Vertical,2,10K,
"SYMETRY1, SYMETRY2",Bourns_3362P,2,10k,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,TL074,
