Designator,Mid X,Mid Y,Rotation,Layer
4QX1,152.4,-132.6,180.0,top
BALANCE1,146.09,-105.745,90.0,top
C1,106.68,-134.62,90.0,bottom
C10,153.67,-93.98,180.0,bottom
C11,182.88,-134.62,270.0,bottom
C12,176.53,-72.39,0.0,bottom
C13,176.53,-74.93,0.0,bottom
C14,185.42,-134.62,90.0,bottom
C2,115.57,-72.39,180.0,bottom
C3,115.57,-74.93,180.0,bottom
C4,109.22,-134.62,270.0,bottom
C6,109.22,-124.46,270.0,bottom
C8,138.43,-93.98,0.0,bottom
C9,182.88,-124.46,270.0,bottom
CYCLE1,127.0,-132.6,180.0,top
CYCLE2,165.1,-132.6,180.0,top
CYCLESW1,101.6,-102.8695,90.0,top
CYCLESW2,190.5,-102.8695,90.0,top
D1,99.06,-134.62,270.0,bottom
D2,101.6,-134.62,270.0,bottom
D3,190.5,-134.62,270.0,bottom
D4,193.04,-134.62,270.0,bottom
D5,120.65,-121.92,270.0,bottom
D6,171.45,-121.92,270.0,bottom
EOC1,101.6,-147.84,180.0,top
EOC2,190.5,-147.84,180.0,top
EXPCV1,101.6,-117.36,180.0,top
EXPCV2,190.5,-117.36,180.0,top
FALL1,127.0,-147.84,180.0,top
FALL2,177.8,-147.84,180.0,top
FALLCV1,127.0,-117.36,180.0,top
FALLCV2,177.8,-117.36,180.0,top
FALLCVPOT1,133.39,-82.215,270.0,top
FALLCVPOT2,184.19,-82.215,270.0,top
FALLPOT1,133.31,-65.105,90.0,top
FALLPOT2,184.11,-65.105,90.0,top
FALLTRIM1,130.81,-96.52,0.0,top
FALLTRIM2,181.61,-96.52,0.0,top
IN1,114.3,-132.6,180.0,top
IN2,177.8,-132.6,180.0,top
LEDF1,123.19,-57.15,0.0,top
LEDF2,173.99,-57.15,0.0,top
LEDR1,118.11,-57.15,180.0,top
LEDR2,168.91,-57.15,180.0,top
LGTR1,139.7,-132.6,180.0,top
MAX1,152.4,-117.36,180.0,top
MIN1,139.7,-117.36,180.0,top
OUT1,139.7,-147.84,180.0,top
OUT2,152.4,-147.84,180.0,top
P1,99.06,-72.39,0.0,bottom
P2,133.35,-137.16,0.0,bottom
P3,158.75,-137.16,0.0,bottom
P4,193.04,-72.39,0.0,bottom
P5,120.65,-116.84,0.0,top
P6,171.45,-116.84,0.0,top
Q1,107.95,-110.49,270.0,bottom
Q2,107.95,-116.84,90.0,bottom
Q3,184.15,-116.84,90.0,bottom
Q4,184.15,-110.49,270.0,bottom
R1,101.6,-93.98,0.0,bottom
R10,138.43,-88.9,0.0,bottom
R11,114.3,-134.62,270.0,bottom
R12,107.95,-74.93,0.0,bottom
R13,130.81,-102.87,180.0,bottom
R14,102.87,-149.86,90.0,bottom
R15,114.3,-149.86,90.0,bottom
R16,127.0,-149.86,270.0,bottom
R17,124.46,-149.86,90.0,bottom
R18,133.35,-72.39,0.0,bottom
R19,123.19,-62.23,90.0,bottom
R2,127.0,-134.62,270.0,bottom
R20,118.11,-62.23,90.0,bottom
R21,138.43,-99.06,0.0,bottom
R22,133.35,-74.93,0.0,bottom
R23,139.7,-119.38,270.0,bottom
R24,139.7,-134.62,270.0,bottom
R25,139.7,-149.86,90.0,bottom
R26,106.68,-129.54,90.0,bottom
R27,109.22,-129.54,90.0,bottom
R28,106.68,-124.46,90.0,bottom
R29,185.42,-124.46,90.0,bottom
R3,100.33,-149.86,90.0,bottom
R30,152.4,-119.38,270.0,bottom
R31,152.4,-134.62,270.0,bottom
R32,152.4,-149.86,90.0,bottom
R33,182.88,-129.54,90.0,bottom
R34,185.42,-129.54,90.0,bottom
R35,161.29,-102.87,0.0,bottom
R36,142.24,-134.62,90.0,bottom
R37,158.75,-72.39,180.0,bottom
R38,153.67,-99.06,180.0,bottom
R39,189.23,-149.86,90.0,bottom
R4,104.14,-134.62,270.0,bottom
R40,165.1,-149.86,270.0,bottom
R41,177.8,-149.86,270.0,bottom
R42,158.75,-74.93,180.0,bottom
R43,168.91,-62.23,90.0,bottom
R44,173.99,-62.23,90.0,bottom
R45,181.61,-102.87,0.0,bottom
R46,177.8,-134.62,270.0,bottom
R47,167.64,-149.86,90.0,bottom
R48,184.15,-72.39,180.0,bottom
R49,153.67,-88.9,180.0,bottom
R5,120.65,-83.82,180.0,bottom
R50,171.45,-83.82,0.0,bottom
R51,184.15,-74.93,180.0,bottom
R52,171.45,-81.28,0.0,bottom
R53,187.96,-134.62,270.0,bottom
R54,191.77,-149.86,90.0,bottom
R55,165.1,-134.62,270.0,bottom
R56,190.5,-93.98,180.0,bottom
R57,180.34,-149.86,90.0,bottom
R6,110.49,-102.87,180.0,bottom
R7,111.76,-149.86,90.0,bottom
R8,107.95,-72.39,0.0,bottom
R9,120.65,-81.28,180.0,bottom
RANGESW1,120.65,-73.6595,90.0,top
RANGESW2,171.45,-73.6595,90.0,top
RISE1,114.3,-147.84,180.0,top
RISE2,165.1,-147.84,180.0,top
RISECV1,114.3,-117.36,180.0,top
RISECV2,165.1,-117.36,180.0,top
RISECVPOT1,107.99,-82.215,270.0,top
RISECVPOT2,158.79,-82.215,270.0,top
RISEPOT1,107.91,-65.105,90.0,top
RISEPOT2,158.71,-65.105,90.0,top
RISETRIM1,110.49,-96.52,0.0,top
RISETRIM2,161.29,-96.52,0.0,top
SHAPE1,120.69,-98.745,270.0,top
SHAPE2,171.49,-98.745,270.0,top
SYMETRY1,120.65,-87.63,180.0,top
SYMETRY2,171.45,-87.63,180.0,top
TRIG1,101.6,-132.6,180.0,top
TRIG2,190.5,-132.6,180.0,top
TRIGGERSW1,146.0505,-73.66,0.0,top
U1,146.05,-93.98,90.0,bottom
