Designator,Mid X,Mid Y,Rotation,Layer
C1,111.76,-67.31,180.0,top
C10,113.03,-74.93,180.0,bottom
C11,116.84,-91.44,90.0,bottom
C12,168.91,-62.23,90.0,bottom
C13,163.83,-74.93,180.0,bottom
C14,137.16,-118.11,0.0,top
C15,118.11,-62.23,90.0,bottom
C16,167.64,-91.44,90.0,bottom
C17,137.16,-130.81,0.0,top
C18,148.59,-93.98,90.0,bottom
C19,171.45,-62.23,270.0,bottom
C2,177.8,-67.31,0.0,top
C20,152.4,-113.03,180.0,top
C21,176.53,-74.93,180.0,bottom
C22,120.65,-62.23,270.0,bottom
C23,125.73,-74.93,180.0,bottom
C24,152.4,-130.81,0.0,top
C25,172.72,-91.44,270.0,bottom
C26,121.92,-91.44,270.0,bottom
C27,143.51,-114.3,270.0,bottom
C28,146.05,-114.3,90.0,bottom
C29,128.905,-78.105,180.0,top
C3,127.0,-72.39,180.0,top
C30,160.655,-78.105,0.0,top
C4,162.56,-72.39,0.0,top
C5,119.38,-97.79,0.0,top
C6,170.18,-97.79,180.0,top
C7,128.945,-78.105,180.0,top
C8,160.615,-78.105,0.0,top
C9,140.97,-93.98,270.0,bottom
D1,137.16,-86.36,180.0,bottom
D10,111.76,-83.82,180.0,top
D11,177.8,-83.82,0.0,top
D12,133.35,-59.69,90.0,top
D13,133.35,-54.61,270.0,top
D14,156.21,-59.69,90.0,top
D15,156.21,-54.61,270.0,top
D16,111.76,-96.52,0.0,top
D17,177.8,-96.52,180.0,top
D18,127.0,-87.63,180.0,top
D19,127.0,-93.98,180.0,top
D2,152.4,-86.36,180.0,bottom
D20,162.56,-87.63,0.0,top
D21,162.56,-93.98,0.0,top
D22,119.38,-100.33,180.0,top
D23,170.18,-100.33,0.0,top
D24,102.87,-57.15,0.0,top
D25,186.69,-57.15,180.0,top
D3,142.24,-123.19,180.0,top
D4,147.32,-123.19,0.0,top
D5,142.24,-110.49,0.0,top
D6,147.32,-110.49,180.0,top
D7,137.16,-133.35,0.0,top
D8,111.76,-86.36,0.0,top
D9,177.8,-86.36,180.0,top
P1,97.79,-63.5,0.0,top
P2,132.08,-128.27,0.0,top
P3,191.77,-63.5,0.0,top
P4,157.48,-128.27,0.0,top
P5,144.78,-105.41,270.0,bottom
P6,144.78,-49.53,0.0,top
P7,134.62,-143.51,270.0,top
Q1,102.87,-93.98,0.0,top
Q2,186.69,-93.98,180.0,top
Q3,102.87,-97.79,0.0,top
Q4,186.69,-97.79,180.0,top
R1,162.56,-96.52,180.0,top
R10,111.76,-54.61,0.0,top
R11,102.87,-59.69,180.0,top
R12,170.18,-52.07,0.0,top
R13,162.56,-62.23,180.0,top
R14,177.8,-52.07,180.0,top
R15,162.56,-59.69,180.0,top
R16,177.8,-54.61,180.0,top
R17,186.69,-59.69,0.0,top
R18,152.4,-118.11,180.0,top
R19,137.16,-115.57,0.0,top
R2,127.0,-96.52,0.0,top
R20,102.87,-87.63,180.0,top
R21,102.87,-90.17,180.0,top
R22,186.69,-87.63,0.0,top
R23,186.69,-90.17,0.0,top
R24,102.87,-74.93,0.0,top
R25,186.69,-74.93,180.0,top
R26,111.76,-49.53,180.0,top
R27,111.76,-59.69,180.0,top
R28,111.76,-57.15,0.0,top
R29,177.8,-49.53,0.0,top
R3,152.4,-115.57,180.0,top
R30,177.8,-59.69,0.0,top
R31,177.8,-57.15,180.0,top
R32,127.0,-57.15,0.0,top
R33,102.87,-85.09,0.0,top
R34,162.56,-57.15,180.0,top
R35,186.69,-85.09,180.0,top
R36,102.87,-80.01,0.0,top
R37,102.87,-77.47,180.0,top
R38,186.69,-80.01,180.0,top
R39,186.69,-77.47,0.0,top
R4,111.76,-62.23,0.0,top
R40,151.13,-127.0,270.0,top
R41,138.43,-127.0,270.0,top
R42,102.87,-82.55,180.0,top
R43,186.69,-82.55,0.0,top
R44,153.67,-127.0,90.0,top
R45,135.89,-127.0,90.0,top
R46,127.0,-54.61,0.0,top
R47,127.0,-52.07,0.0,top
R48,119.38,-49.53,0.0,top
R49,162.56,-54.61,180.0,top
R5,177.8,-62.23,180.0,top
R50,162.56,-52.07,180.0,top
R51,170.18,-49.53,180.0,top
R52,111.76,-74.93,180.0,top
R53,177.8,-74.93,0.0,top
R54,111.76,-77.47,180.0,top
R55,177.8,-77.47,0.0,top
R56,111.76,-69.85,180.0,top
R57,177.8,-69.85,0.0,top
R58,111.76,-72.39,0.0,top
R59,177.8,-72.39,180.0,top
R6,119.38,-52.07,180.0,top
R60,152.4,-135.89,0.0,top
R61,102.87,-72.39,180.0,top
R62,186.69,-72.39,0.0,top
R63,119.38,-67.31,0.0,top
R64,119.38,-82.55,0.0,top
R65,170.18,-67.31,180.0,top
R66,170.18,-82.55,180.0,top
R67,152.4,-133.35,180.0,top
R68,127.0,-64.77,0.0,top
R69,127.0,-49.53,0.0,top
R7,127.0,-62.23,0.0,top
R70,162.56,-64.77,180.0,top
R71,162.56,-49.53,180.0,top
R72,127.0,-69.85,0.0,top
R73,162.56,-69.85,180.0,top
R74,111.76,-88.9,180.0,top
R75,111.76,-91.44,180.0,top
R76,177.8,-88.9,180.0,top
R77,177.8,-91.44,0.0,top
R78,111.76,-93.98,0.0,top
R79,177.8,-93.98,180.0,top
R8,111.76,-52.07,0.0,top
R80,127.0,-67.31,180.0,top
R81,162.56,-67.31,0.0,top
R82,143.51,-83.82,90.0,top
R83,146.05,-83.82,270.0,top
R84,111.76,-99.06,180.0,top
R85,177.8,-99.06,0.0,top
R86,143.51,-96.52,90.0,top
R87,146.05,-96.52,270.0,top
R88,143.51,-90.17,270.0,top
R89,146.05,-90.17,90.0,top
R9,127.0,-59.69,0.0,top
R90,152.4,-138.43,0.0,top
R91,152.4,-140.97,0.0,top
T1,139.7,-54.61,0.0,top
T2,139.7,-59.69,0.0,top
T3,149.86,-54.61,180.0,top
T4,149.86,-59.69,180.0,top
U1,119.38,-59.69,270.0,top
U2,119.38,-74.93,270.0,top
U3,119.38,-90.17,270.0,top
U4,170.18,-59.69,270.0,top
U5,170.18,-74.93,270.0,top
U6,170.18,-90.17,270.0,top
U7,144.78,-116.84,270.0,top
U8,144.78,-130.81,270.0,top
U9,144.78,-140.335,90.0,top
